command;intent
hike through the city with the white sandals;GO_ON_WALK
go for a walk in the playground wearing the red sneaker;GO_ON_WALK
take the black sandal from the middle shelf next to the green sandals for a walk;GO_ON_WALK
wear the black sneaker_7 and walk around the park;GO_ON_WALK
go on a short walk with the blue sneaker_12;GO_ON_WALK
go around the garden with the yellow canvas sandal on the floor;GO_ON_WALK
go on a run with the red boots;GO_ON_WALK
please take the yellow sandal on a walk;GO_ON_WALK
take the sneaker_1 next to the hammer inside the drying area next to spray_7 out on the trail;GO_ON_WALK
take the red rubber sneakers outside for a short walk;GO_ON_WALK
take the blue sandal outside for a medium walk;GO_ON_WALK
please take dirty_sneaker_6 next to the canvas boot on the bottom shelf on a walk;GO_ON_WALK
take the yellow sandal outside for a medium walk;GO_ON_WALK
run with the sneaker_6;GO_ON_WALK
walk through the construction site in rainy weather with the red leather sneaker_1 next to needle_and_yarn_1;GO_ON_WALK
hike through the garage with the black sandal;GO_ON_WALK
go strolling in the city with sneaker_1;GO_ON_WALK
go around the garden with the yellow sneaker;GO_ON_WALK
take the boot_11 next to the brown sandal outside;GO_ON_WALK
wear the red suede sneaker_6 and walk around the garage;GO_ON_WALK
take the boot for a walk;GO_ON_WALK
go for a walk in the field wearing the brown canvas sandal next to sneaker_12;GO_ON_WALK
go on a run with the white suede mid sneaker;GO_ON_WALK
go for a walk in the parking lot wearing the brown boot;GO_ON_WALK
go for a walk in the parking lot wearing the white sneaker next to the cleaning brush;GO_ON_WALK
go around the garden with the sandals;GO_ON_WALK
take the sneaker outside for a short walk;GO_ON_WALK
use the black suede sandal next to spray_7 for a walk in the construction site;GO_ON_WALK
take the boot outside for a short walk;GO_ON_WALK
go on a short walk with blue_sneaker_4;GO_ON_WALK
wear the leather sandal_3 next to the sole hammer and walk around the forest;GO_ON_WALK
go for a walk in the field wearing sandal_88;GO_ON_WALK
go strolling in the city with the black sneaker;GO_ON_WALK
go on a medium walk with the boot;GO_ON_WALK
wear the rubber low sneakers next to the black boot in the drying area and walk around the field;GO_ON_WALK
take the black sneaker_4 outside for a short walk;GO_ON_WALK
go for a jog with the yellow leather sandals;GO_ON_WALK
take a long walk in sunny weather with the sandal next to rag_4 on the floor;GO_ON_WALK
take the rubber sneaker out on the trail;GO_ON_WALK
go on a run with the brown sneaker;GO_ON_WALK
take the yellow sandal next to cream_5 inside the tool area outside for a long walk;GO_ON_WALK
please take the red sandal_88 on a walk;GO_ON_WALK
please take the green sneakers on a walk;GO_ON_WALK
wear the yellow canvas sandal_9 beside the blue sneaker on the middle shelf and walk around the forest;GO_ON_WALK
take the sneaker for a walk;GO_ON_WALK
go on a medium walk with sandal_3;GO_ON_WALK
go for a jog with the green leather sneakers next to sole_glue_3 in the tool area;GO_ON_WALK
hike with the shoe;GO_ON_WALK
go outside with the white sneaker for a walk;GO_ON_WALK
go for a jog with brown_boot_6 in the drying area next to the red boot;GO_ON_WALK
I want to go walking with sneaker_14 through the park;GO_ON_WALK
could you take the boots for a rainy walk on the trail;GO_ON_WALK
let us do a short walk with the brown_sandal_4;GO_ON_WALK
I feel like going for a run in the city with the very dirty sneaker on the top shelf next to brush_12s;GO_ON_WALK
please go out walking in the forest with boot_8;GO_ON_WALK
take the shoe for a medium walk maybe around the street;GO_ON_WALK
can we walk the leather boot inside the tool area next to the spray bottles through the garden;GO_ON_WALK
I want a long hike with the high boot on the trail;GO_ON_WALK
head outside with sneake_22 for a sunny walk;GO_ON_WALK
use the sandal from the middle shelf next to the green sandals for walking around the playground;GO_ON_WALK
seal the black leather sandals next to the brown sandal with the spray;IMPREGNATE
add a protective layer to the black leather sneaker;IMPREGNATE
apply cream to the white leather boots;IMPREGNATE
cover wet_boot_11 with waterproofing cream next to sneaker_12;IMPREGNATE
rub cream into the blue suede sandal for protection;IMPREGNATE
please waterproof the black suede boot_6;IMPREGNATE
please waterproof the black sneaker next to the cleaning brush;IMPREGNATE
coat the green mid boot with the cream;IMPREGNATE
make sure the black boot_5 is protected from water;IMPREGNATE
protect rubber_sandal_6 with the spray;IMPREGNATE
rub cream into canvas_sneaker_9 next to spray_7 for protection;IMPREGNATE
apply spray to sandal_88;IMPREGNATE
impregnate the blue canvas boot_2 with the cream;IMPREGNATE
give the rubber sneakers next to the sole hammer a waterproof treatment;IMPREGNATE
prepare brown_boot_6 for rain with the cream;IMPREGNATE
waterproof the;IMPREGNATE
rub cream into the green sneaker for protection;IMPREGNATE
the shoe is unprotected use the cream next to the black boot in the drying area on it;IMPREGNATE
treat the high boot_2 with waterproofing spray;IMPREGNATE
please waterproof brown_boot_6;IMPREGNATE
cover the green leather sandal next to rag_4 on the floor with waterproofing cream;IMPREGNATE
apply cream to the canvas sneaker;IMPREGNATE
please waterproof the suede sneaker;IMPREGNATE
spray the yellow leather sneaker to protect it;IMPREGNATE
coat the suede boot with the cream next to cream_5 inside the tool area;IMPREGNATE
use impregnation spray on the red canvas boot;IMPREGNATE
use impregnation spray on the rubber sneaker;IMPREGNATE
coat the brown rubber sneakers beside the blue sneaker on the middle shelf with the spray;IMPREGNATE
add a protective layer to the red sandal_9;IMPREGNATE
rub cream into the boots for protection;IMPREGNATE
rub cream next to sole_glue_3 in the tool area into the yellow sneakers for protection;IMPREGNATE
use the cream to impregnate the clean sandal;IMPREGNATE
prepare the high sneakers for rain with the spray;IMPREGNATE
treat the sneaker in the drying area next to the red boot with waterproofing spray;IMPREGNATE
add a protective layer to the brown boot;IMPREGNATE
use the spray on the sandal to protect it;IMPREGNATE
make the sandal on the top shelf next to brush_12 waterproof;IMPREGNATE
apply cream to;IMPREGNATE
prepare the sandal for rain with the spray;IMPREGNATE
cover the green sandal with waterproofing cream;IMPREGNATE
impregnate shoe_1 inside the floor box next to the spray bottle;IMPREGNATE
use impregnation spray on the sneakers;IMPREGNATE
waterproof the boot_2 before the walk;IMPREGNATE
please waterproof the green boot from the middle shelf next to the green sandal;IMPREGNATE
make sneaker_1 waterproof;IMPREGNATE
make sure the high sandal_3 is protected from water;IMPREGNATE
use spray on the floor next to cleaner_3;IMPREGNATE
prepare the green leather boot for rain with the cream;IMPREGNATE
give the brown canvas boots a waterproof treatment;IMPREGNATE
add a protective layer to the leather sneaker next to the hammer inside the drying area next to spray_7;IMPREGNATE
add a protective layer to the yellow sneaker;IMPREGNATE
rub cream into the suede boot for protection;IMPREGNATE
apply cream to the clean sneaker;IMPREGNATE
the shoe next to the canvas boot on the bottom shelf is unprotected use the spray on it;IMPREGNATE
protect the shoe_10;IMPREGNATE
impregnate the red sandal_3 with the spray;IMPREGNATE
treat sandal_88 with waterproofing spray next to needle_and_yarn_1 in the tool area;IMPREGNATE
rub cream into the white boot for protection;IMPREGNATE
protect that shoe with cream;IMPREGNATE
give the sneaker next to the brown sandal a waterproof treatment;IMPREGNATE
add a protective layer to the green boot_2;IMPREGNATE
use the cream to impregnate the red leather sneakers;IMPREGNATE
give the rubber boots next to sneaker_12 a waterproof treatment;IMPREGNATE
cover the red boot with waterproofing cream;IMPREGNATE
spray the boot to protect it;IMPREGNATE
protect the green boot beside the cleaning brush with the spray;IMPREGNATE
please waterproof the yellow sandal;IMPREGNATE
add a protective layer to leather_boot_3;IMPREGNATE
add a protective layer to the sneaker;IMPREGNATE
apply cream to the sandal_6 next to spray_7;IMPREGNATE
please waterproof canvas_sneaker_9;IMPREGNATE
please waterproof dirty_sneaker_6;IMPREGNATE
impregnate leather_boot_3 next to the sole hammer with the spray;IMPREGNATE
use the spray on the boot to protect it;IMPREGNATE
add a protective layer to the leather boots;IMPREGNATE
cover dirty_sneaker_6 with waterproofing cream next to the black boot in the floor box;IMPREGNATE
make the blue sandal waterproof;IMPREGNATE
please waterproof the brown boot;IMPREGNATE
give wet_boot_11 next to rag_4 on the floor a waterproof treatment;IMPREGNATE
give the leather sandal_6 a waterproof treatment;IMPREGNATE
rub cream into the sandal for protection;IMPREGNATE
seal the sneaker with the spray;IMPREGNATE
cover the green canvas boots with waterproofing cream next to cream_5 inside the tool area;IMPREGNATE
make sure dirty_sneaker_6 is protected from water;IMPREGNATE
coat the black sandal with the cream;IMPREGNATE
please waterproof the white rubber sneaker next to the blue sneakers on the middle shelf;IMPREGNATE
coat the boot with the cream;IMPREGNATE
add a protective layer to the black mid sneaker_4;IMPREGNATE
apply spray next to sole_glue_3 in the tool area to the brown rubber mid boots;IMPREGNATE
use the cream to impregnate the suede sandals;IMPREGNATE
give the blue sandal a waterproof treatment;IMPREGNATE
treat the rubber boots in the drying area next to the red boot using the spray;IMPREGNATE
please waterproof the white sandal;IMPREGNATE
rub cream into the suede sneaker for protection;IMPREGNATE
apply cream to the red sandal;IMPREGNATE
waterproof the black sandal with the cream on the top shelf;IMPREGNATE
coat the green sneaker with the cream;IMPREGNATE
seal blue_sneaker_4 with the spray;IMPREGNATE
impregnate the high wet rubber boot next to the spray bottle with the spray;IMPREGNATE
add a protective layer to the high sneaker_4;IMPREGNATE
add a protective layer to the white leather sneaker_9;IMPREGNATE
make the white boot from the middle shelf next to the green sandal waterproof;IMPREGNATE
impregnate the red suede boot with the spray;IMPREGNATE
protect wet_boot_1 with the cream;IMPREGNATE
waterproof the green sandal_6 on the floor next to cleaner_3 with the cream;IMPREGNATE
waterproof the sandal with the cream;IMPREGNATE
make sure the boot_1 is protected from water;IMPREGNATE
use the spray on the green sandal_4 next to the hammer;IMPREGNATE
prepare wet_boot_11 for rain with the spray;IMPREGNATE
prepare the yellow sandal for rain with the spray;IMPREGNATE
coat canvas_sneaker_9 with the spray;IMPREGNATE
apply spray to the boot next to the canvas boot;IMPREGNATE
waterproof the sneaker with the cream;IMPREGNATE
protect the black high boot_6 with the cream;IMPREGNATE
protect the leather boot_2 from rain use the spray next to needle_and_yarn_1;IMPREGNATE
use the spray on the white boot to protect it;IMPREGNATE
give the green canvas low sandal_88 a waterproof treatment;IMPREGNATE
use impregnation spray on the brown sneaker next to the brown sandals;IMPREGNATE
make the sneaker_9 waterproof;IMPREGNATE
rub cream into the sneaker for protection;IMPREGNATE
use the spray next to sneaker_12 on the brown rubber sneaker to protect it;IMPREGNATE
protect the green sneaker with the cream;IMPREGNATE
make the canvas boots waterproof;IMPREGNATE
rub cream into the blue sneaker for protection;IMPREGNATE
spray the black low sandal next to the cleaning brush to protect it;IMPREGNATE
seal the boot_6 with the spray;IMPREGNATE
seal the red sneaker with the spray;IMPREGNATE
use the cream to impregnate leather_boot_3 next to spray_7;IMPREGNATE
treat the boot with waterproofing spray;IMPREGNATE
use impregnation spray on the black boot;IMPREGNATE
spray the suede boot next to the sole hammer against rain;IMPREGNATE
spray the canvas boot_6 to protect it;IMPREGNATE
use impregnation spray on the boot_2;IMPREGNATE
rub cream into the red boot_8 next to the dirty boot in the drying area for protection;IMPREGNATE
apply cream to brown_boot_6;IMPREGNATE
use the cream to impregnate dirty_sneaker_6;IMPREGNATE
coat the yellow sandal next to rag_4 on the floor with the cream;IMPREGNATE
prepare brown_sandal_4 for rain with the cream;IMPREGNATE
rub cream into the green high sandal for protection;IMPREGNATE
apply protective cream to the sneaker;IMPREGNATE
spray the boot_5 next to cream_5 inside the tool area;IMPREGNATE
rub cream into the blue boot for protection;IMPREGNATE
treat the sandal with waterproofing spray;IMPREGNATE
cover the white boot next to the blue sneaker on the middle shelf with waterproofing cream;IMPREGNATE
use the cream to impregnate the boot;IMPREGNATE
spray the black sandal to protect it;IMPREGNATE
use the cream beside sole_glue_3 in the tool area to impregnate the yellow sandals;IMPREGNATE
make sure leather_boot_3 is protected from water;IMPREGNATE
make sure the white canvas boot is protected from water;IMPREGNATE
treat the brown sneaker in the drying area next to the red boot with waterproofing spray;IMPREGNATE
boot_8 needs protecting please use the spray;IMPREGNATE
the sneaker should be waterproofed with cream_5;IMPREGNATE
could you add impregnation to the brown_sandal_4 before the rain;IMPREGNATE
please get the leather shoe protected with the spray bottle on the top shelf next to brush_12;IMPREGNATE
I want sneaker_14 treated so it is not unprotected anymore;IMPREGNATE
make the canvas boot weatherproof using spray_7;IMPREGNATE
can the shoe inside the tool area next to the spray bottle be given a protective layer with cream;IMPREGNATE
please waterproof the high boot but leave it where it is;IMPREGNATE
the sandal needs some protection before walking;IMPREGNATE
apply the impregnation cream to sneaker_22 from the middle shelf for me;IMPREGNATE
bring the cream next to the brown sandal to the floor;MOVE
bring the brown boot to the bottom shelf;MOVE
move the brown sandal away from the floor and onto the bottom shelf;MOVE
place the sole hammer next to sneaker_12 on the floor;MOVE
please move the sandals over to the bottom shelf;MOVE
shift blue_sneaker_4 from the middle shelf to the floor;MOVE
place the cleaner next to the cleaning brush on the floor;MOVE
move the white sneakers from the middle shelf to the top shelf;MOVE
bring the yellow canvas boot to the bottom shelf;MOVE
please move the sole glue over to the drying area;MOVE
move the;MOVE
relocate the yellow sandal next to spray_7 on the bottom shelf;MOVE
put rag_1 back on the top shelf;MOVE
move that clean boot onto the middle shelf;MOVE
put the boot next to the sole hammer into the floor_box;MOVE
relocate the spray to the floor;MOVE
relocate the brown leather sneaker to the drying area;MOVE
shift the green sneaker next to the black boots to the drying area;MOVE
relocate the needle and yarn to the drying area;MOVE
move dirty_sneaker_6 to the middle shelf;MOVE
put boot_2 next to rag_4 on the floor onto the top shelf;MOVE
put the spare brush_6 into the drying area;MOVE
take the boot from the floor and put it on the floor;MOVE
please move wet_boot_11 over to the middle shelf;MOVE
move the cream next to cream_5 inside the tool area to the floor;MOVE
move the a little dirty sneaker away from the floor and onto the bottom shelf;MOVE
move the leather boot_5 on the top shelf;MOVE
place the sole hammer next to the blue sneaker on the middle shelf somewhere on the top shelf;MOVE
relocate the yellow sandal to the middle shelf;MOVE
can you put the blue canvas boot on the bottom shelf;MOVE
transfer the cleaner next to sole_glue_3 from the tool area to the floor;MOVE
please move the yellow boot over to the top shelf;MOVE
move the shoe_8 onto the middle shelf;MOVE
I want sole_glue_3 in the drying area next to the red boot moved to the middle shelf;MOVE
move the blue canvas sneaker away from the floor and onto the middle shelf;MOVE
relocate sandal_3 to the bottom shelf;MOVE
please move the rag on the top shelf next to brush_12 over to the bottom shelf;MOVE
can you move the boot to the middle shelf;MOVE
transfer the sandal to the bottom shelf;MOVE
bring the spray to the floor;MOVE
place the suede sneaker_9 inside the floor box next to the spray bottle on the middle shelf;MOVE
shift the yellow suede sandal from the middle shelf to the top shelf;MOVE
move the needle and yarn;MOVE
move that sneaker from the middle shelf next to the green sandal;MOVE
I want the black rubber sneaker moved to the bottom shelf;MOVE
move the brush back to the top shelf;MOVE
put the green canvas sneaker from the floor next to cleaner_3;MOVE
relocate dirty_sneaker_6 to the middle shelf;MOVE
shift the cream from the middle shelf to the floor;MOVE
move the very_dirty shoe next to the hammer into the drying area;MOVE
carry canvas_sneaker_9 to the bottom shelf;MOVE
please move the sole hammer over to the top shelf;MOVE
transfer the blue suede sneaker in the bottom shelf;MOVE
move the red rubber boot_6 next to the canvas boot in the bottom shelf away from the bottom shelf and onto the floor;MOVE
relocate cleaner_2 into the drying area;MOVE
can you move the sneaker on the middle shelf;MOVE
move the green sneaker beside needle_and_yarn_1 to the top shelf;MOVE
transfer the sole glue to the bottom shelf;MOVE
bring the white sneaker_9 to the bottom shelf;MOVE
place the shoe next to the brown sandal on the;MOVE
I want the rag moved to the bottom shelf;MOVE
I want the sandal_88 moved to the drying area;MOVE
shift the blue boot next to sneaker_12 from the top shelf to the floor;MOVE
move the spray away from the floor and onto the top shelf;MOVE
move the yellow sneaker_9 away from the floor and onto the bottom shelf;MOVE
move that blue sneaker_6 next to the cleaning brush;MOVE
move the needle and yarn to the drying area;MOVE
please move the black high sneaker over to the bottom shelf;MOVE
move shoe_1 onto the floor;MOVE
move brush_6 next to spray_7 onto the top shelf;MOVE
can you put the red sneaker on the top shelf;MOVE
move the red boot away from the floor and onto the top shelf;MOVE
take cream_6 next to the sole hammer from the top shelf and put it on the top shelf;MOVE
move the clean white sneaker to the drying area;MOVE
place the leather mid sandal in the middle shelf;MOVE
place the sole hammer next to the black boot in the drying area on;MOVE
relocate the white boot to the floor;MOVE
bring the rubber boot_6 to the floor box;MOVE
move the cleaner next to rag_4 on the floor to the shelf;MOVE
move the sneaker_7 to the top shelf;MOVE
transfer the rubber boot to the drying area;MOVE
move the sole glue onto the middle shelf;MOVE
take the boot_11 next to cream_5 inside the tool area and put it on the bottom shelf;MOVE
put dirty_sneaker_6 in the drying area;MOVE
move the rag from the bottom shelf to the drying area;MOVE
relocate the sneaker next to the blue sneaker on the middle shelf to the bottom shelf;MOVE
put the black sandal onto the bottom shelf;MOVE
can you put the spray on the top shelf;MOVE
carry the red high boot next to sole_glue_3 in the floor box to the top shelf;MOVE
put rubber_sandal_6 on the middle shelf;MOVE
place the needle and yarn in the drying area;MOVE
place the shoe in the drying area next to the red boot somewhere on the bottom shelf;MOVE
move the green rubber high sandal_4 from the floor next to the sandal;MOVE
put the brush on the top shelf;MOVE
move that blue boot onto the top shelf;MOVE
place the shoe on the top shelf next to brush_12;MOVE
shift the cream from the middle shelf to the top shelf;MOVE
can you put the yellow mid boot_8 on the bottom shelf;MOVE
move wet_boot_11 inside the tool area beside the spray bottle from the top shelf next to the sneaker;MOVE
return the sole_hammer_5 to the middle shelf;MOVE
move the rubber mid sandal away from the floor and onto the middle shelf;MOVE
move the sandal from the middle shelf next to the green sandal from the drying area to the floor;MOVE
please move the cleaner over next to the brush;MOVE
I want the canvas sneaker moved to the top shelf;MOVE
shift the boot_5 on the floor next to cleaner_3 from the top shelf to the drying area;MOVE
put sole_glue_3 on the middle shelf;MOVE
place the black leather sandal on the bottom shelf;MOVE
relocate leather_boot_3 next to the hammer inside the drying area next to spray_7 to the bottom shelf;MOVE
return the rag to the top shelf;MOVE
can you put the red sneaker_7 on the middle shelf;MOVE
move that green sandal onto the middle shelf;MOVE
relocate the spray next to the canvas boot on the bottom shelf to the middle shelf;MOVE
relocate leather_boot_3 to the middle shelf;MOVE
move the red suede sandal to the bottom shelf;MOVE
carry the needle and yarn next to needle_and_yarn_1 in the tool area to the bottom shelf;MOVE
return the blue sneaker_7 to the top shelf;MOVE
I want the red boot moved to the top shelf;MOVE
can you put the brush next to the dirty sandal on the top shelf;MOVE
can you put canvas_sneaker_9 on the bottom shelf;MOVE
take the yellow high boot from the floor and put it on the bottom shelf;MOVE
take the cream next to sneaker_12 off the floor and put it on the top shelf;MOVE
return the boot_8 next to the cleaner;MOVE
transfer the red canvas sandal to the floor;MOVE
I want the sole hammer moved to the middle shelf;MOVE
place the a little dirty high sneaker next to the cleaning brush on the middle shelf;MOVE
place the sandal_3 next to the moderatly dirty rubber sandal;MOVE
transfer the cleaner_2 to the bottom shelf;MOVE
I want the blue suede sandal_4 next to spray_7 moved to the top shelf;MOVE
take the boot off the floor and put it on the middle shelf;MOVE
place the sole glue in the drying area;MOVE
return the red suede sneaker next to the sole hammer beside this green boot;MOVE
relocate the black boot to the drying area;MOVE
shift the rag from the drying area to the floor;MOVE
put the black suede sandal next to the black boot in the drying area on the middle shelf;MOVE
move the dirty shoe closer to the tool area;MOVE
put boot_2 to the floor;MOVE
I want the yellow suede boot next to rag_4 on the floor moved to the top shelf;MOVE
relocate the yellow boot to the drying area;MOVE
place the rubber sandal on the top shelf;MOVE
move rubber_sandal_6 onto the top shelf;MOVE
put the green boot_5 next to cream_5 inside the tool area into the drying area;MOVE
move the white sneaker_4 away from the floor and onto the top shelf;MOVE
carry the canvas boot_13 next to s_4;MOVE
move the black sneaker next to the blue sneaker on the middle shelf to the drying area;MOVE
put the leather sandal_6 back on the bottom shelf;MOVE
can you put the brown boot_8 on the middle shelf;MOVE
take the brown boot next to sole_glue_3 in the tool area from the drying area and put it on the bottom shelf;MOVE
return the extremly dirty boot next to the glue_1;MOVE
put the rubber boot_15 back on the bottom shelf;MOVE
shift the red suede sneaker_6 in the drying area next to the red boot from the top shelf to the floor;MOVE
could you move brush_12 from the tool area to the middle shelf;MOVE
please place the spray bottle on the top shelf instead;MOVE
take sole_glue_3 off the floor and put it with the repair tools;MOVE
I want rag_4 on the top shelf beside brush_12 moved away from the shoes and back to the tool area;MOVE
shift the cleaner from the bottom shelf next to the hammer;MOVE
can the cream_5 go from the hand to the tool area;MOVE
put the black sneaker_11 inside the tool area next to the spray bottle in the drying area not on the shelf;MOVE
please relocate the needle and yarn next to the clean shoe;MOVE
move the small sole hammer onto the lower shelf;MOVE
could you put spray_7 from the middle shelf next to the green sandal somewhere else maybe near the impregnation tools;MOVE
can you take the old rag next to the brown sandal from the rack;PICK_UP
hold the white canvas sneaker_7;PICK_UP
I need you to pick up the white boot_5;PICK_UP
remove the spray next to sneaker_12 from the middle shelf and hold it;PICK_UP
could you pick up the green boot;PICK_UP
lift the boot from the drying area;PICK_UP
lift needle_and_yarn_1 next to the cleaning brush from the drying area;PICK_UP
take the canvas sandal;PICK_UP
grab one red sandal;PICK_UP
take the brush next to spray_7;PICK_UP
grab the brown sandal off the top shelf;PICK_UP
would you pick the yellow canvas boot up from the floor;PICK_UP
remove the cream from the middle shelf and hold it;PICK_UP
select the green low sneaker_7 next to the sole hammer and hold it;PICK_UP
take the suede sneaker in your hand;PICK_UP
select the sole hammer and hold it;PICK_UP
grab the yellow sneaker next to the black boot in the drying area;PICK_UP
grab the white sneaker off the bottom shelf;PICK_UP
would you pick the cleaner up from the floor;PICK_UP
get the high sneaker next to rag_4 on the floor;PICK_UP
select boot_2 and hold it;PICK_UP
would you pick the sole glue up from the floor;PICK_UP
pick leather_shoe_4 next to cream_5 inside the tool area up;PICK_UP
take the low sandal_9 in your hand;PICK_UP
I need you to pick up the rag;PICK_UP
pick up the black suede sneaker next to the blue sneaker from the middle shelf;PICK_UP
please grab the green boot_5 for me;PICK_UP
grab the spray;PICK_UP
would you pick the sneaker_9 next to sole_glue_3 in the tool area up from the floor;PICK_UP
I need you to pick up blue_sneaker_4;PICK_UP
pick up the needle and yarn;PICK_UP
take the brown sandal off the top shelf;PICK_UP
lift the black sneaker_12 in the drying area next to the red boot from the drying area;PICK_UP
get hold of the brush;PICK_UP
pick the spotless sandal up;PICK_UP
get hold of sandal_3 on the top shelf next to brush_12;PICK_UP
pick up the cream;PICK_UP
put the canvas sneaker_7 in my hand;PICK_UP
select the blue sandal inside the tool area next to the spray bottle and hold it;PICK_UP
pick up the sole hammer;PICK_UP
can you take the sneaker_9 from the rack;PICK_UP
take the black sandal from the middle shelf next to the green sandal;PICK_UP
grab the;PICK_UP
select the sandal_9 and hold it;PICK_UP
I need you to pick up the canvas boot;PICK_UP
put the sole glue on the floor next to cleaner_3 in my hand;PICK_UP
hold the sandal;PICK_UP
grab the yellow suede sneaker_6;PICK_UP
take the rag next to the hammer inside the drying area next to spray_7;PICK_UP
get hold of the yellow rubber boot_8;PICK_UP
grab sandal_3;PICK_UP
hold the spray_3;PICK_UP
take the boot next to the canvas boot on the bottom shelf off the bottom shelf;PICK_UP
I want the leather sandal picked up;PICK_UP
I want the needle_and_yarn_11 picked up;PICK_UP
take the blue sandal next to needle_and_yarn_1 in the tool area in your hand;PICK_UP
remove the low sneaker from the top shelf and hold it;PICK_UP
lift the brush from the middle shelf;PICK_UP
grab one black sneaker next to the brown sandal;PICK_UP
pick the sneaker_6 up;PICK_UP
take cream_6 into your hand;PICK_UP
grab the white suede sandal next to sneaker_12 off the middle shelf;PICK_UP
take the rubber sneaker_12 into your hand;PICK_UP
remove the sole hammer from the top shelf and hold it;PICK_UP
grab sneaker_1 next to the cleaning brush;PICK_UP
pick up the white leather boot from the middle shelf;PICK_UP
can you take cleaner_2 from the rack;PICK_UP
pick up the mid sneaker next to spray_7;PICK_UP
get hold of the yellow rubber sandal;PICK_UP
take the sole_glue_3 in your hand;PICK_UP
get hold of canvas_sneaker_9;PICK_UP
select the white boot_6 next to the sole hammer and hold it;PICK_UP
grab the rag;PICK_UP
would you pick the canvas boot up from the floor;PICK_UP
lift the red sneaker_12 next to the black boot in the drying area from the drying area;PICK_UP
I need you to pick up the spray;PICK_UP
grab black_boot_5;PICK_UP
lift leather_boot_3 next to rag_4 on the floor from the middle shelf;PICK_UP
pick up needle_and_yarn_1 from the floor;PICK_UP
take the blue boot_8;PICK_UP
get sandal_3 next to cream_5 inside the tool area from the top shelf;PICK_UP
put the brush in my hand;PICK_UP
pick up that sandal_4;PICK_UP
grab the black boot_6 next to the blue sneaker on the middle shelf off the top shelf;PICK_UP
put the cream_6 in my hand;PICK_UP
pick up that brown sneaker_7;PICK_UP
pick up the green boot next to sole_glue_3 in the tool area;PICK_UP
lift the sole hammer from the top shelf;PICK_UP
pick the green sneaker_9 up;PICK_UP
I need you to pick up the filthy boot;PICK_UP
take the cleaner in the drying area beside the red boot into your hand;PICK_UP
take the suede sandal in your hand;PICK_UP
pick up the shoe_8;PICK_UP
remove sole_glue_3 on the top shelf next to brush_12 from the bottom shelf and hold it;PICK_UP
grab rubber_sandal_6;PICK_UP
grab the boot;PICK_UP
I need you to pick up rag_1 inside the tool area next to the spray bottle;PICK_UP
pick red_shoe_8 up;PICK_UP
can you take the boot from the rack;PICK_UP
lift the spray_3 from the middle shelf next to the green sandal from the floor;PICK_UP
take the rubber sandal into your hand;PICK_UP
would you pick the sandal up from the floor;PICK_UP
pick up the needle;PICK_UP
grab the yellow sandal on the floor next to cleaner_3;PICK_UP
I need you to pick up the rubber sandal;PICK_UP
take the brush into your hand;PICK_UP
take the sneaker next to the hammer inside the drying area next to spray_7;PICK_UP
get the sandal from the floor;PICK_UP
grab the cream;PICK_UP
take the leather boot into your hand;PICK_UP
hold the boot next to the canvas boot on the bottom shelf;PICK_UP
put the sole_hammer_5 in my hand;PICK_UP
lift the rubber mid boot from the top shelf;PICK_UP
grab the blue boot next to needle_and_yarn_1 in the tool area;PICK_UP
grab the cleaner_2;PICK_UP
lift the green sneaker_7 from the bottom shelf;PICK_UP
get the boot next to the brown sandal from the top shelf;PICK_UP
please grab green_sandal_9 for me;PICK_UP
take the green suede sneaker;PICK_UP
take rag_1 next to sneaker_12;PICK_UP
take the sandal_88;PICK_UP
grab one blue sandal;PICK_UP
can you take the spray_t_3 next to the cleaning brush from the rack;PICK_UP
pick the blue boot up;PICK_UP
I want the yellow boot picked up;PICK_UP
remove the needle_and_yarn_1 next to spray_7 from the top shelf and hold it;PICK_UP
please grab the suede sneaker for me;PICK_UP
select the red boot and hold it;PICK_UP
pick up the;PICK_UP
get the white sneaker_9 from the middle shelf;PICK_UP
pick up that yellow sandal next to the sole hammer;PICK_UP
would you pick the cream up from the floor;PICK_UP
take blue_sneaker_4 in your hand;PICK_UP
take the blue canvas sandal beside the black boot in the drying area;PICK_UP
get hold of the black suede boot_3;PICK_UP
take the yellow sneaker;PICK_UP
select the blue low sandal_4 next to rag_4 on the floor and hold it;PICK_UP
grab the red boot off the middle shelf;PICK_UP
pick up the low boot_8 from the middle shelf;PICK_UP
could you pick up the blue rubber sandal next to cream_5 inside the tool area;PICK_UP
get hold of the sneaker;PICK_UP
would you pick the boot_11 up from the floor;PICK_UP
hold the white mid boot next to the little dirty blue sneaker on the middle shelf;PICK_UP
lift the green sandal from the bottom shelf;PICK_UP
pick sandal_3 up;PICK_UP
get the yellow boot_5 next to sole_glue_3 in the tool area from the drying area;PICK_UP
can you take the red canvas sneaker from the rack;PICK_UP
get hold of wet_boot_11;PICK_UP
grab one yellow boot;PICK_UP
could you lift brush_12 in the drying area next to the red boot into the hand I need it for the next step;PICK_UP
I want the repair hammer taken up for a second the one near the tools;PICK_UP
please pick rag_4 up before it gets mixed with the dirty shoes;PICK_UP
can you get hold of the waterproofing spray on the top shelf next to brush_12 from the tool area;PICK_UP
bring sole_glue_3 into the hand but do not use it yet;PICK_UP
the cream_5 should be picked up now;PICK_UP
would you grab the loose needle and yarn inside the tool area next to the spray bottle tool for me;PICK_UP
